content,label,language
assistance to cancel purchase {{Order Number}},non-insult,eng
I need help with canceling order {{Order Number}},non-insult,eng
I have a question about canceling purchase {{Order Number}},non-insult,eng
"I ordered some products, how to cancel purchase {{Order Number}}?",non-insult,eng
"I can't afford order {{Order Number}}, how can I cancel it?",non-insult,eng
I do not want purchase {{Order Number}},non-insult,eng
i can no longer pay for order {{Order Number}},non-insult,eng
I do not know how to cancel purchase {{Order Number}},non-insult,eng
"I bought some item, cancel order {{Order Number}}",non-insult,eng
want assistance cancelling purchase {{Order Number}},non-insult,eng
i cannot pay for my last item cancel order {{Order Number}},non-insult,eng
I have to cancel order {{Order Number}},non-insult,eng
I need help with canceling order {{Order Number}},non-insult,eng
can uhelp me canceling order {{Order Number}},non-insult,eng
I don't know what to do to cancel purchase {{Order Number}},non-insult,eng
is it possible to cancel order {{Order Number}} ?,non-insult,eng
I have a problem with canceling purchase {{Order Number}},non-insult,eng
i dont knwo how i can cancel purchase {{Order Number}},non-insult,eng
I need assistance with canceling purchase {{Order Number}},non-insult,eng
assistance with cancelling purchase {{Order Number}},non-insult,eng
i do not know what to do to cancel purchase {{Order Number}},non-insult,eng
I can no longer pay for purchase {{Order Number}},non-insult,eng
I need help cancelling order {{Order Number}},non-insult,eng
can you help me cancel purchase {{Order Number}}?,non-insult,eng
I do not know how to cancel purchase {{Order Number}},non-insult,eng
"I can't afford order {{Order Number}}, I need help to cancel it",non-insult,eng
assistance with canceling purchase {{Order Number}},non-insult,eng
need help cancelling purchase {{Order Number}},non-insult,eng
need help with canceling order {{Order Number}},non-insult,eng
i want assistance canceling order {{Order Number}},non-insult,eng
want help to cancel order {{Order Number}},non-insult,eng
"I purchased some items, cancel order {{Order Number}}",non-insult,eng
camceling order {{Order Number}},non-insult,eng
how can I cancel purchase {{Order Number}}?,non-insult,eng
where can I cancel purchase {{Order Number}}?,non-insult,eng
where culd i cancel order {{Order Number}},non-insult,eng
help with cancelling order {{Order Number}},non-insult,eng
I can't afford order {{Order Number}},non-insult,eng
help me cancel purchase {{Order Number}},non-insult,eng
I dp not know how to cancel order {{Order Number}},non-insult,eng
i can no longer arford purchase {{Order Number}},non-insult,eng
assistance to cancel purchased {{Order Number}},non-insult,eng
help  with cancelling order {{Order Number}},non-insult,eng
want assistance to cancel order {{Order Number}},non-insult,eng
question about canceling a bloody purchase,non-insult,eng
iwant assistance canceling order {{Order Number}},non-insult,eng
want help canceling purchase {{Order Number}},non-insult,eng
i dont know how i can cancel order {{Order Number}},non-insult,eng
"I purchased some items, help me cancel order {{Order Number}}",non-insult,eng
I want assistance cancelling purchase {{Order Number}},non-insult,eng
help with canceling purchase {{Order Number}},non-insult,eng
problems with canceling purchase {{Order Number}},non-insult,eng
I want assistance canceling purchase {{Order Number}},non-insult,eng
I need help cancelnig purchase {{Order Number}},non-insult,eng
i want assistance to cancel order {{Order Number}},non-insult,eng
is it possible to cancel purchase {{Order Number}}?,non-insult,eng
assistance canceling order {{Order Number}},non-insult,eng
I need assistance to cancel purchase {{Order Number}},non-insult,eng
I am trying to cancel purchase {{Order Number}},non-insult,eng
I nee assistance to cancel purchase {{Order Number}},non-insult,eng
help cancelling purchase {{Order Number}},non-insult,eng
I want assistance canceling purchase {{Order Number}},non-insult,eng
can you help me to cancel purchase {{Order Number}}?,non-insult,eng
need assistance witgh cancelling order {{Order Number}},non-insult,eng
can you help me cancelling purchase {{Order Number}}?,non-insult,eng
want assistance to cancel order  {{Order Number}},non-insult,eng
I want help cancelling purchase {{Order Number}},non-insult,eng
problem with cancelling purchase {{Order Number}},non-insult,eng
"I bought some item, cancel purchase {{Order Number}}",non-insult,eng
I don't know how I can cancel purchase {{Order Number}},non-insult,eng
how do i cancel purchase {{Order Number}},non-insult,eng
I want help canceling purchase {{Order Number}},non-insult,eng
I need assistance with canceling order {{Order Number}},non-insult,eng
i need help cancelling purchase {{Order Number}},non-insult,eng
how can i cancel purchase {{Order Number}},non-insult,eng
I need assistance canceling purchase {{Order Number}},non-insult,eng
i want assistance to cancel order {{Order Number}},non-insult,eng
i dont know how to cancel order {{Order Number}},non-insult,eng
what do I have to do to cancel purchase {{Order Number}}?,non-insult,eng
how do I cancel purchae {{Order Number}}?,non-insult,eng
I can't afford order {{Order Number}},non-insult,eng
I don't know how I could cancel purchase {{Order Number}},non-insult,eng
I have a problem with cancelling order {{Order Number}},non-insult,eng
I want help canceling purchase {{Order Number}},non-insult,eng
help to cancel order {{Order Number}},non-insult,eng
problem with cancelling purchase {{Order Number}},non-insult,eng
I want assistance canceling order {{Order Number}},non-insult,eng
I can't afford purchase {{Order Number}},non-insult,eng
camceling order {{Order Number}},non-insult,eng
"I bought some articles, how to cancel order {{Order Number}}?",non-insult,eng
i do not want purchase {{Order Number}},non-insult,eng
problem with cancelling purchase {{Order Number}},non-insult,eng
I need assistance cancelling order {{Order Number}},non-insult,eng
help me to cancel purchase {{Order Number}},non-insult,eng
I don't know how I can camcel purchase {{Order Number}},non-insult,eng
could uhelp me cancelin order {{Order Number}},non-insult,eng
i need help cancelling purchase {{Order Number}},non-insult,eng
I want help to cancel order {{Order Number}},non-insult,eng
i want assistance to cancel purchase {{Order Number}},non-insult,eng
what do I have to do to cancel purchase {{Order Number}}?,non-insult,eng
cancel purchase  {{Order Number}},non-insult,eng
I am trying to cancel order {{Order Number}},non-insult,eng
i do not know how i can canmcel order {{Order Number}},non-insult,eng
help me cancelling purchase {{Order Number}},non-insult,eng
have problems with canceling purchase {{Order Number}},non-insult,eng
i dont want order {{Order Number}},non-insult,eng
i need assistance canceling roder {{Order Number}},non-insult,eng
can uhelp me canceling purchase {{Order Number}},non-insult,eng
cancelling order {{Order Number}},non-insult,eng
can you help me canceling order {{Order Number}}?,non-insult,eng
"I can't afford this item, I try to cancel order {{Order Number}}",non-insult,eng
i dont know how i can cancel purchase {{Order Number}},non-insult,eng
I can't pay  for order {{Order Number}},non-insult,eng
I have a problem with cancelling purchase {{Order Number}},non-insult,eng
I have a question about canceling order {{Order Number}},non-insult,eng
i need help with cancelling purchase {{Order Number}},non-insult,eng
help me canceling purchase {{Order Number}},non-insult,eng
i dont know how to cncel purchase {{Order Number}},non-insult,eng
can you help me to cancel purchase {{Order Number}}?,non-insult,eng
i want assistance to cancel purchase {{Order Number}},non-insult,eng
have a problem with canceling order {{Order Number}},non-insult,eng
assistance canceling purchase {{Order Number}},non-insult,eng
can ya help me cancel purchase {{Order Number}},non-insult,eng
i need assistance to cancel purchase {{Order Number}},non-insult,eng
i dont want purchase {{Order Number}},non-insult,eng
I don't want order {{Order Number}},non-insult,eng
question about canceling purchase {{Order Number}},non-insult,eng
"I purchased some product, cancel order {{Order Number}}",non-insult,eng
help canceling purchase {{Order Number}},non-insult,eng
have a question abut canceling purchase {{Order Number}},non-insult,eng
I can't pay for purchase {{Order Number}},non-insult,eng
problems with cancelling purchase {{Order Number}},non-insult,eng
I have to cancel purchase {{Order Number}},non-insult,eng
where do I cancel purchase {{Order Number}}?,non-insult,eng
what do i have to do to cancel purchase {{Order Number}},non-insult,eng
I don't know how to cancel purchase {{Order Number}},non-insult,eng
where to cancel purchase {{Order Number}}?,non-insult,eng
problem with cancelig order {{Order Number}},non-insult,eng
problem with canceling purchase {{Order Number}},non-insult,eng
I need help with canceling purchase {{Order Number}},non-insult,eng
problems with canceling purchase {{Order Number}},non-insult,eng
I'm rtying to cancel order {{Order Number}},non-insult,eng
I need help with cancelling purhase {{Order Number}},non-insult,eng
"I do not want the item I purchased, can I cancel the order?",non-insult,eng
how could I cancel purchase {{Order Number}}?,non-insult,eng
I need help cancelling purchase {{Order Number}},non-insult,eng
i need help with cancelling order {{Order Number}},non-insult,eng
i want assistance tocancel order {{Order Number}},non-insult,eng
problem with canceling purchase {{Order Number}},non-insult,eng
I want help canceling purchase {{Order Number}},non-insult,eng
i need help with cancelliung order {{Order Number}},non-insult,eng
"I bought some items, cancel order {{Order Number}}",non-insult,eng
I need help cancelling order {{Order Number}},non-insult,eng
"I bought something, help me cancel purchasae {{Order Number}}",non-insult,eng
how to cancel the purchase i made,non-insult,eng
i need assistance to cancel order {{Order Number}},non-insult,eng
i want help to cancel order {{Order Number}},non-insult,eng
question about cancelling purchase {{Order Number}},non-insult,eng
need help canceling purchase {{Order Number}},non-insult,eng
how do i cancel order {{Order Number}},non-insult,eng
can  uhelp me canceling order {{Order Number}},non-insult,eng
"I have bought some items, cancel order {{Order Number}}",non-insult,eng
